=== DUPLICATE STUBS (appear in 2+ files) ===
6x  [lurek.filled and outlined]  in: render_00.lua, render_00.lua, render_00.lua, render_00.lua, render_00.lua, render_00.lua
2x  [LChannel:pop]  in: thread_00.lua, thread_01.lua
2x  [LScheduler:after]  in: timer_00.lua, timer_01.lua
2x  [LVec3:sub]  in: math_04.lua, math_07.lua
2x  [LSpriteBatch:typeOf]  in: render_02.lua, render_05.lua
2x  [LPointLight:set]  in: raycaster_01.lua, raycaster_02.lua
2x  [LTerminal:getCellSize]  in: terminal_00.lua, terminal_02.lua
2x  [LScheduler:pause]  in: timer_00.lua, timer_01.lua
2x  [LSpriteSheet:getRow]  in: sprite_00.lua, sprite_01.lua
2x  [LSkeleton:blendAnimation]  in: spine_00.lua, spine_01.lua
2x  [lurek.sprite.newRPGMakerSheet]  in: sprite_00.lua, sprite_01.lua
2x  [LSkeleton:setIKTarget]  in: spine_00.lua, spine_01.lua
2x  [LSkeleton:setSkin]  in: spine_00.lua, spine_01.lua
2x  [LChannel:demand]  in: thread_00.lua, thread_01.lua
2x  [LSpriteSheet:getGroupNames]  in: sprite_00.lua, sprite_01.lua
2x  [LMod:setConfigSchema]  in: mods_00.lua, mods_02.lua
2x  [LTween:type]  in: math_08.lua, tween_02.lua
2x  [LModManager:validateDependencies]  in: mods_01.lua, mods_02.lua
2x  [lurek.light.setMaxLights]  in: input_02.lua, light_03.lua
2x  [LTerminal:print]  in: terminal_00.lua, terminal_02.lua
2x  [LScheduler:afterFrames]  in: timer_00.lua, timer_01.lua
2x  [LCircle:intersects]  in: math_05.lua, math_07.lua
2x  [LVec3:lerp]  in: math_04.lua, math_07.lua
2x  [LPointLight:typeOf]  in: raycaster_01.lua, raycaster_02.lua
2x  [lurek.ui.newAccordion]  in: ui_03.lua, ui_08.lua
2x  [LCircle:contains]  in: math_05.lua, math_07.lua
2x  [LBezierCurve:getControlPoint]  in: math_02.lua, math_07.lua
2x  [LSkeleton:getSkin]  in: spine_00.lua, spine_01.lua
2x  [LShader:release]  in: render_03.lua, render_05.lua
2x  [lurek.render.push]  in: render_01.lua, render_06.lua
2x  [LVec2:lengthSquared]  in: math_04.lua, math_07.lua
2x  [LChannel:popTable]  in: thread_00.lua, thread_01.lua
2x  [LSkeleton:setPosition]  in: spine_00.lua, spine_01.lua
2x  [LSpatialHash:queryCircle]  in: math_05.lua, math_07.lua
2x  [LMenuBar:getMenuCount]  in: ui_03.lua, ui_08.lua
2x  [LTransform:getMatrix]  in: math_04.lua, math_07.lua
2x  [LSkeleton:addSkin]  in: spine_00.lua, spine_01.lua
2x  [LImageData:getWidth]  in: image_00.lua, render_07.lua
2x  [LVec3:distance]  in: math_04.lua, math_07.lua
2x  [LCatmullRom:addPoint]  in: math_02.lua, math_07.lua
2x  [lurek.basic creation]  in: repl_00.lua, save_00.lua
2x  [LMod:isEnabled]  in: mods_00.lua, mods_02.lua
2x  [LAccordion:getSectionTitle]  in: ui_03.lua, ui_08.lua
2x  [LBezierCurve:translate]  in: math_02.lua, math_07.lua
2x  [LNoiseGenerator:generateMap]  in: math_03.lua, math_06.lua
2x  [LTransform:transformPoint]  in: math_04.lua, math_07.lua
2x  [lurek.math.rectFromCenter]  in: math_01.lua, math_06.lua
2x  [LVec3:normalize]  in: math_04.lua, math_07.lua
2x  [LNoiseGenerator:fbm]  in: math_03.lua, math_06.lua
2x  [lurek.thread.newChannel]  in: thread_00.lua, thread_01.lua
