"File","Outside","Docs","Logic","Temp","ExtRefs"
"tools/dist/release.ps1","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/docs/collect_docs.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/docs/gen_docs_lua.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/docs/gen_docs_rust.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/docs/gen_engine_docs.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/docs/gen_extension_api.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/docs/gen_lib_docs.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/docs/gen_luadoc.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/docs/gen_lua_api.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/docs/gen_lua_api_data.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/docs/gen_lua_binding_reports.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/docs/gen_lua_dev_docs.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/docs/gen_lua_docstring_skeletons.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/docs/gen_lua_library_api.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/docs/gen_module_specs.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/docs/gen_rust_api_data.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/docs/gen_rust_docstrings.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/docs/gen_test_docs.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/docs/gen_wiki.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/docs/gen_wiki_api.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/docs/scan_missing_docs.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/fix/add_clippy_allows.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/fix/add_lua_docstrings.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/fix/add_lua_docstrings_auto.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/fix/add_test_markers.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/fix/clean_network.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/fix/collapse_duplicate_stubs.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/fix/collapse_example_stubs.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/fix/docstring_fix.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/fix/expand_examples.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/fix/fix_colon_syntax.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/fix/fix_data_examples.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/fix/fix_docstrings.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/fix/fix_examples2_stubs.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/fix/fix_param_types.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/fix/fix_ui_args.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/fix/fix_ui_batch3.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/fix/fix_ui_charts.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/fix/fix_ui_examples.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/fix/fix_ui_example_colon.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/fix/fix_ui_remaining.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/fix/fix_ui_self_param.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/fix/fix_ui_types.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/fix/fix_ui_types2.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/fix/fix_ui_widget_getters.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/fix/fix_ui_widget_stubs.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/fix/format_examples.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/fix/improve_examples.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/fix/improve_lua_docstrings.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/fix/merge_examples2_into_examples.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/fix/remove_api_stubs.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/fix/restore_api_stubs.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/fix/strip_api_stubs.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/fix/strip_file_docstrings.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/fix/strip_todo_stubs.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/github/ideas_to_github_issues.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/mods/mod_init.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/ui/fix_layouts.py","2","0","0","True","tools\README.md,docs\CHANGELOG.md"
"tools/ui/render_layout.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/ui/snap_to_grid.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/validate/cag_validate.baseline.json","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/validate/cag_validate.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/validate/check_callbacks.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/validate/validate_changelog.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/validate/validate_game.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/validate/validate_generated_lua_stubs.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/validate/validate_library.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/validate/validate_lua_api.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/validate/validate_lua_binding_reports.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/validate/validate_module_coverage.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/validate/validate_param_types.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/validate/validate_rust_source_docs.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
"tools/validate/_cag_common.py","2","0","0","False","tools\README.md,docs\CHANGELOG.md"
